TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Remove the Gmail plugin from all Google accounts and confirm it is no longer enabled @people-self @place-anywhere @tools-gmail @when-anytime @duration-25,"Check Gmail and Google Workspace integrations to ensure the plugin is fully removed from every account and no access remains enabled.",,3,1,,,,,,25,minute,,
task,Uninstall the app from Raspberry Pi and remove any leftover local settings or cached data @people-self @place-anywhere @tools-raspberry-pi @when-anytime @duration-25,"Check package-manager entries, system services, home config folders, and cached files for anything still left behind after uninstalling",,3,1,,,,,,25,minute,,
task,Uninstall the app from Windows and remove any leftover local settings or cached data @people-self @place-anywhere @tools-windows-devices @when-anytime @duration-25,"Check the Windows install folder, app data, and cached files for anything still left behind after uninstalling",,3,1,,,,,,25,minute,,

section,7️⃣ Community & Social Cleanup,,,1,,,,,,,,,,
task,Clean up LinkedIn for this service @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Unfollow vendor organisation on LinkedIn @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unfollow relevant LinkedIn groups @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unfollow relevant LinkedIn hashtags @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Clean up other social platforms for this service @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Unfollow vendor accounts on GitHub @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unfollow vendor accounts on Twitter / X @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unfollow vendor accounts on Facebook @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unfollow vendor accounts on Mastodon @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Leave official Discord server @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Clean up WhatsApp groups and chats for this service @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Leave all groups associated with the service @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Delete all chats and communications related to the service from device @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Remove feeds from Inoreader @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Remove official blog RSS feed from Inoreader @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Remove relevant subreddit feeds from Inoreader @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Remove related website feeds from Inoreader @people-self @place-anywhere @tools-todoist,,,4,2,,,,,,,,,
task,Unsubscribe from vendor YouTube channel in Inoreader @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Unsubscribe from dedicated or related podcasts @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Remove Google Alerts for related product keywords @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,
task,Unsubscribe from official forum(s) in Inoreader @people-self @place-anywhere @tools-todoist,,,4,1,,,,,,,,,

section,8️⃣ Update Documentation & Knowledge Base,,,1,,,,,,,,,,
task,Archive MOC in Obsidian and mark as wound down @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,Remove tool from active stack documentation @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,Document lessons learned and reason for switching @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,Remove scheduling of socials health checklist @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,

section,9️⃣ Account Closure,,,1,,,,,,,,,,
task,Request account deletion from within the tool (if option available) @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,Confirm account deletion email received @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,Verify account is no longer accessible after deletion period @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,After account closure is fully confirmed remove 2FA setup from authenticator app @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,After account closure is fully confirmed delete stored recovery codes @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,
task,After account closure is fully confirmed remove account credentials from password manager @people-self @place-anywhere @tools-todoist,,,2,1,,,,,,,,,




